panel,pair_id,label,method,budget,n_total,n_degraded,n_strong,mean_achieved_retention,pivot_accuracy,pivot_preservation,info_shift_rate,silent_mirage_count,silent_mirage_n,silent_mirage_rate,silent_mirage_wilson_low,silent_mirage_wilson_high,flag_degraded_rate,flag_given_wrong,flag_given_wrong_wilson_low,flag_given_wrong_wilson_high,pair_retention_gap
primary_exact_retention_match,A,naive@0.7,naive,0.7,60,51,9,0.6868589743589746,0.8,0.6,0.4,12,51,0.23529411764705882,0.14004812598862515,0.36762488136345783,0.0,0.0,0.0,0.2425007574992425,0.0
primary_exact_retention_match,A,contract@0.7,contract,0.7,60,4,56,0.6868589743589746,1.0,1.0,0.0,0,4,0.0,0.0,0.48990002040399916,0.0,,,,0.0
secondary_cross_budget_near_match,B,naive@0.5,naive,0.5,60,56,4,0.4782763532763533,0.8166666666666667,0.45,0.55,11,56,0.19642857142857142,0.11338480016444108,0.3184485732747718,0.0,0.0,2.7755575615628914e-17,0.2588400172488141,0.02770655270655281
secondary_cross_budget_near_match,B,contract@0.3,contract,0.3,60,10,50,0.4505698005698005,1.0,1.0,0.0,0,10,0.0,0.0,0.2775401687666165,0.0,,,,0.02770655270655281
