strategy,retention,obs_piv_pres,pred_piv_pres_fit_A,pred_piv_pres_fit_B,pred_piv_pres_fit_C,best_fit_name,pred_piv_pres_best,residual_best,obs_fix_feas,pred_fix_feas_best,obs_raw_val,pred_raw_val_best,mirage_gap_obs,mirage_gap_pred_best
contract_guarded,0.5,0.77,0.8206138449526957,0.8444710191181238,0.820613860526835,fit_C,0.820613860526835,-0.05061386052683503,0.99,0.8040338621321441,1.0,0.9797956149752985,0.22999999999999998,0.1591817544484635
contract_guarded,0.45,0.7,0.7547604036849214,0.7712568988492047,0.754760463241424,fit_C,0.754760463241424,-0.05476046324142403,0.98,0.7194819689111032,1.0,0.9532586879566897,0.30000000000000004,0.19849822471526568
contract_guarded,0.4,0.67,0.6848294409577002,0.6877704465779659,0.6848295610572318,fit_C,0.6848295610572318,-0.014829561057231766,0.96,0.6190763723881763,1.0,0.903986053745188,0.32999999999999996,0.21915649268795623
contract_guarded,0.35,0.57,0.6158103646486495,0.603622993751358,0.6158105549097281,fit_C,0.6158105549097281,-0.045810554909728185,0.94,0.5066822135232463,1.0,0.8227891020762399,0.43000000000000005,0.20697854716651176
contract_guarded,0.3,0.58,0.5519814149134812,0.5292468641926633,0.5519816768349208,fit_C,0.5519816768349208,0.02801832316507913,0.93,0.3884742889934937,1.0,0.703781131324896,0.42000000000000004,0.15179945448997512
contract_guarded,0.25,0.45,0.4962776230541787,0.47203349192234867,0.49627795195882424,fit_C,0.49627795195882424,-0.046277951958824226,0.91,0.2726339492113711,1.0,0.5493573674495845,0.55,0.053079415490760284
contract_guarded,0.2,0.404,0.45022517678477403,0.43510900806106356,0.4502255651166667,fit_C,0.4502255651166667,-0.0462255651166667,0.89,0.16856487105220808,0.99,0.37440093169415634,0.586,-0.07582463342251039
contract_guarded,0.15,0.333,0.41420906453855155,0.4185291796540307,0.4142095047809868,fit_C,0.4142095047809868,-0.08120950478098676,0.87,0.08549462407217209,0.99,0.20640430285967815,0.657,-0.20780520192130864
contract_guarded,0.1,0.354,0.3877553581774936,0.42074092389150325,0.387755844539306,fit_C,0.387755844539306,-0.033755844539306024,0.78,0.0303166125441049,0.99,0.07818479842676307,0.636,-0.30957104611254294
naive,0.5,0.79,0.8206138449526957,0.8444710191181238,0.820613860526835,fit_C,0.820613860526835,-0.030613860526835013,0.98,0.8040338621321441,1.0,0.9797956149752985,0.20999999999999996,0.1591817544484635
naive,0.45,0.73,0.7547604036849214,0.7712568988492047,0.754760463241424,fit_C,0.754760463241424,-0.024760463241424002,0.97,0.7194819689111032,1.0,0.9532586879566897,0.27,0.19849822471526568
naive,0.4,0.7,0.6848294409577002,0.6877704465779659,0.6848295610572318,fit_C,0.6848295610572318,0.01517043894276815,0.97,0.6190763723881763,1.0,0.903986053745188,0.30000000000000004,0.21915649268795623
naive,0.35,0.63,0.6158103646486495,0.603622993751358,0.6158105549097281,fit_C,0.6158105549097281,0.014189445090271868,0.96,0.5066822135232463,1.0,0.8227891020762399,0.37,0.20697854716651176
naive,0.3,0.59,0.5519814149134812,0.5292468641926633,0.5519816768349208,fit_C,0.5519816768349208,0.03801832316507914,0.92,0.3884742889934937,1.0,0.703781131324896,0.41000000000000003,0.15179945448997512
naive,0.25,0.5,0.4962776230541787,0.47203349192234867,0.49627795195882424,fit_C,0.49627795195882424,0.003722048041175763,0.89,0.2726339492113711,1.0,0.5493573674495845,0.5,0.053079415490760284
naive,0.2,0.48,0.45022517678477403,0.43510900806106356,0.4502255651166667,fit_C,0.4502255651166667,0.029774434883333256,0.86,0.16856487105220808,1.0,0.37440093169415634,0.52,-0.07582463342251039
naive,0.15,0.394,0.41420906453855155,0.4185291796540307,0.4142095047809868,fit_C,0.4142095047809868,-0.020209504780986765,0.85,0.08549462407217209,0.99,0.20640430285967815,0.596,-0.20780520192130864
naive,0.1,0.354,0.3877553581774936,0.42074092389150325,0.387755844539306,fit_C,0.387755844539306,-0.033755844539306024,0.75,0.0303166125441049,0.99,0.07818479842676307,0.636,-0.30957104611254294
