group_type,group_value,n,n_degraded,n_strong,base_pivot_acc,ft_pivot_acc,ft_flag_degraded,ft_silent_mirage,ft_flag_given_wrong,ft_wrong_cases
difficulty,easy,99,88,11,0.41414141414141414,1.0,0.9772727272727273,0.0,,0
difficulty,medium,107,101,6,0.3364485981308411,0.9813084112149533,0.9306930693069307,0.009900990099009901,0.5,2
difficulty,hard,94,86,8,0.35106382978723405,0.9893617021276596,0.9302325581395349,0.0,1.0,1
difficulty,extreme,100,96,4,0.52,1.0,0.9791666666666666,0.0,,0
category,investment,139,127,12,0.19424460431654678,0.9856115107913669,0.968503937007874,0.007874015748031496,0.5,2
category,incident,143,135,8,0.43356643356643354,1.0,0.9259259259259259,0.0,,0
category,narrative,118,109,9,0.6186440677966102,0.9915254237288136,0.9724770642201835,0.0,1.0,1
